item_name,pre_growth,post_growth,reversal,pre_growing,post_slowing,PCEweight
Durable goods,0.05842322341685602,0.039172066475862355,0.019251156940993663,TRUE,TRUE,0.10730906154437474
Other motor vehicle services (61),0.016808657092877377,-0.002015395857754232,0.01882405295063161,TRUE,TRUE,0.00557428560899317
Market-based PCE household maintenance,0.020110721991532188,0.0013824864035099083,0.01872823558802228,TRUE,TRUE,0.005711653000534
"Outpatient services, gross output",0.03261267016148661,0.014456519870331475,0.018156150291155138,TRUE,TRUE,0.00697406913741451
Meats and poultry,0.015267935966486457,-0.0014219307590972452,0.016689866725583702,TRUE,TRUE,0.01165287442317722
New domestic light trucks,0.07344304365277177,0.056999380539979994,0.016443663112791773,TRUE,TRUE,0.01378396065454137
Fruit (fresh),0.031300970539445805,0.016777357751242894,0.014523612788202911,TRUE,TRUE,0.00299162918333567
"Mineral waters, soft drinks, and vegetable juices",0.022903117435613796,0.008655427505401159,0.014247689930212637,TRUE,TRUE,0.00559082014031091
"Milk, dairy products, and eggs",0.02096948427226586,0.006886325973719298,0.014083158298546561,TRUE,TRUE,0.00585714753458694
PCE food and energy,0.023160111320551513,0.009737467596883542,0.01342264372366797,TRUE,TRUE,0.10863635469820532
Market-based PCE food and energy,0.02315381199036004,0.009744987773032676,0.013408824217327364,TRUE,TRUE,0.10859478483133309
"Flowers, seeds, and potted plants",0.06475203624971582,0.051680315635243446,0.01307172061447237,TRUE,TRUE,0.00376403467599488
Motor vehicles and parts,0.025356964834390094,0.012808191955507642,0.012548772878882453,TRUE,TRUE,0.03562364772405679
Bakery products,0.01760877065266575,0.005610291243045129,0.011998479409620622,TRUE,TRUE,0.00612861277757753
Market-based PCE motor vehicles and parts,0.031098377905140362,0.01942566363094156,0.011672714274198803,TRUE,TRUE,0.03143886994605586
Pets and related products,0.033523208195369136,0.02357356960883794,0.009949638586531195,TRUE,TRUE,0.00555158565921798
Jewelry,0.036172871722844446,0.027684995317951655,0.008487876404892791,TRUE,TRUE,0.00416917740099494
Control group,0.045256360713413324,0.03765222866696427,0.0076041320464490525,TRUE,TRUE,0.25636389121791725
Goods,0.03816108944524865,0.031686057886841645,0.006475031558407007,TRUE,TRUE,0.3094234824628175
Net health insurance (112),0.01800673268821229,0.01204702123090784,0.005959711457304451,TRUE,TRUE,0.01343019641668681
Household supplies (parts of 32 and 36),0.029899812755437738,0.024412853250608046,0.0054869595048296915,TRUE,TRUE,0.0094108106595788
PCE goods excluding food and energy,0.04604948441496837,0.040691282200345125,0.005358202214623242,TRUE,TRUE,0.21685065847836815
Outpatient services to households,0.042001617016926174,0.03697299819381361,0.005028618823112563,TRUE,TRUE,0.00653627771921927
Owner-occupied mobile homes,0.007568933940858225,0.0028108359489060764,0.004758097991952148,TRUE,TRUE,0.00442434165124572
"Hair, dental, shaving, and miscellaneous personal care products except electrical products",0.033918819456446814,0.029203538517369676,0.004715280939077138,TRUE,TRUE,0.00593907286772622
Water supply and sewage maintenance,0.007456370764501674,0.0029244434080342163,0.004531927356467458,TRUE,TRUE,0.00493681870666428
New motor vehicles,0.03908225228433615,0.034644661158842016,0.004437591125494134,TRUE,TRUE,0.01907132076668473
Motor vehicle services,0.017256134980841997,0.01293875631105168,0.004317378669790317,TRUE,TRUE,0.01879649256817189
Pork,0.013577028820572545,0.009350442228324374,0.004226586592248172,TRUE,TRUE,0.00235738511338227
Nonprescription drugs,0.049253707501733635,0.04579633359934365,0.003457373902389982,TRUE,TRUE,0.00605009710767609
Communication,0.0446372633612504,0.0412357684603859,0.003401494900864499,TRUE,TRUE,0.0150434809130555
Major household appliances,0.0278734281541706,0.025607009666805736,0.002266418487364863,TRUE,TRUE,0.00367103961426152
Water supply and sanitation (25),0.006263321322846016,0.004824964829178713,0.0014383564936673032,TRUE,TRUE,0.00694996795617172
Other nondurable goods,0.037943577695600084,0.03674361718532548,0.0011999605102746003,TRUE,TRUE,0.08250506930514193
Nondurable goods,0.02805200171782385,0.027624306758313955,4.2769495950989445e-4,TRUE,TRUE,0.2021144209184428
Nonprofit private higher education services to households,0.006559701683341412,0.006385799485476351,1.7390219786506123e-4,TRUE,TRUE,0.00410416026089808
