item_name,qty_share_start,price_start,qty_share_end,price_end,price_change,qty_share_change,pre_behavior,price_chg_pre,qs_chg_pre
Private employees' expenditures abroad,0.0026607826987820457,105.887,0.001936084115124694,158.448,49.63876585416529,-0.07246985836573516,Necessity-like pre-2020,12.050921173769048,-0.0016237979185355737
Government employees' expenditures abroad,0.00372540581096165,105.422,0.0020874199039506705,157.751,49.637646790992406,-0.16379859070109795,Necessity-like pre-2020,12.052124188216794,0.021969012686202202
Audio equipment,0.00373092826783877,84.09700000000001,0.004073962641461992,88.565,5.312912470123776,0.034303437362322164,Moderate price change pre-2020,-27.498836146697236,0.1511114818661196
"Audio-video, photographic, and information processing equipment services (parts of 77 and 93)",0.0024391820059365436,104.405,0.0019213152490806338,126.841,21.48939227048512,-0.051786675685590984,Luxury-like pre-2020,12.943530938987458,-0.028727095878694573
Professional association dues,0.0024516075339100648,105.197,0.0021375378604991035,139.49,32.598838369915505,-0.031406967341096124,Luxury-like pre-2020,14.301081110447122,-0.014256573608623958
Bakery products,0.002502835587835984,102.437,0.0022033865631053214,136.155,32.915840955904606,-0.029944902473066262,Moderate price change pre-2020,3.635020840921044,-0.019539402657201825
"Pleasure boats, aircraft, and other recreational vehicles",0.0023290719666234326,108.591,0.0025209672809700023,116.687,7.45549815362232,0.01918953143465697,Necessity-like pre-2020,6.921948385699217,0.04485462688901579
Hairdressing salons and personal grooming establishments,0.002735650743550376,107.029,0.00209824105410507,141.564,32.26695568490783,-0.06374096894453057,Necessity-like pre-2020,12.733305245418158,-0.008533111366813492
Bicycles and accessories,0.0023282968849564684,108.513,0.0026259925549685374,116.757,7.597246412872183,0.0297695670012069,Luxury-like pre-2020,6.820956056071825,-0.04597117038895458
Beef and veal,0.0024587528180273913,106.242,0.0017528660116771437,168.379,58.48628602624195,-0.07058868063502476,Moderate price change pre-2020,-2.3564876936933543,-0.002523339936735423
Pleasure boats,0.0023471895005887228,108.516,0.0030951695708295794,116.76,7.5970363817317255,0.07479800702408566,Necessity-like pre-2020,6.821806154391363,0.03177041633234154
Photographic equipment,0.002772467122731178,97.331,0.002660439882960044,132.967,36.6132064809773,-0.011202723977113372,Moderate price change pre-2020,-5.847585513078468,-0.07690938732172774
Casino gambling,0.0023885837058650328,105.512,0.002115053915178295,132.601,25.673857002047164,-0.027352979068673768,Luxury-like pre-2020,9.472723122574745,-0.02243683099380535
Cereals and bakery products,0.0025646967933805696,101.293,0.002336025809164529,132.772,31.077172163920498,-0.022867098421604053,Moderate price change pre-2020,1.3609118109133123,-0.011317997446919992
Cellular telephone services,0.002957784305041915,87.725,0.0037305313982284667,70.606,-19.514391564548305,0.07727470931865517,Moderate price change pre-2020,-29.05664954914885,0.07645648738230632
Food supplied to civilians,0.0025171745986748233,106.395,0.002230760065162562,142.037,33.49969453451762,-0.02864145335122613,Necessity-like pre-2020,15.011674665974839,0.01545598339577352
Community food and housing / emergency / other relief services,0.0021583602294745533,105.527,0.002474015512800079,130.166,23.34852691728182,0.03156552833255256,Luxury-like pre-2020,12.432610965501079,-0.023546039224498112
Clothing and footwear services,0.002356345152779738,108.266,0.0018541640006224974,151.43800000000002,39.87586130456469,-0.050218115215724037,Luxury-like pre-2020,15.187624347011951,-0.028900019954004742
Control group,0.002694183874367787,99.014,0.002926219354252274,112.028,13.143595855131608,0.023203547988448696,Moderate price change pre-2020,-3.2017127941420975,0.020395648557255217
Child care,0.002641236107993291,105.87,0.0026232071107621276,135.83800000000002,28.3064135260225,-0.0018028997231163326,Necessity-like pre-2020,14.571722309398849,0.007589373597092792
Dishes and flatware,0.003037399725020401,88.543,0.004248804373123359,79.212,-10.538382480828524,0.12114046481029578,Moderate price change pre-2020,-11.358608054940976,0.05404893119821644
Children's and infants' clothing,0.002345639337254794,102.183,0.0023376690208546415,110.237,7.881937308554243,-7.970316400152545e-4,Moderate price change pre-2020,-0.17779514482487713,-0.008375043828699833
"Civic and social organizations, gross output",0.002682049002019378,106.137,0.0029105086473614422,133.359,25.64798326690976,0.02284596453420644,Luxury-like pre-2020,13.98118516291158,-0.016243390326026737
Civic and social organizations' services to households,0.002572253839633471,106.121,0.0033766797881795937,133.339,25.648080964182405,0.08044259485461228,Luxury-like pre-2020,13.981139371025941,-0.04821920132475916
Household cleaning products,0.0025808281805742633,102.367,0.0023119186913205607,129.03,26.046479822599068,-0.026890948925370257,Moderate price change pre-2020,1.5162934607985123,-0.04196563939149579
"Clocks, lamps, lighting fixtures, and other household decorative items",0.0030440848043979674,88.708,0.0033966387984643758,97.81,10.260630382829072,0.03525539940664084,Moderate price change pre-2020,-24.08386820710312,0.09563301235263225
Market-based PCE clothing and footwear,0.002581215721407745,97.746,0.0027915761914978077,103.619,6.008430012481325,0.02103604700900625,Moderate price change pre-2020,-3.580729166666674,0.0019380556322825745
Clothing and footwear,0.0025813610492203013,97.751,0.0027907746248197036,103.629,6.013237716238207,0.02094135755994022,Moderate price change pre-2020,-3.571992266108981,0.001947065253006747
Communication,0.0026242085326221697,95.267,0.002774783369591535,90.983,-4.496835210513606,0.015057483696936545,Moderate price change pre-2020,-14.44441450907491,0.02721153887174114
Cosmetic / perfumes / bath / nail preparations and implements,0.0027249449280254312,95.728,0.003322654194075406,101.789,6.331480862443595,0.05977092660499747,Moderate price change pre-2020,-5.2319998416045514,0.012234883821873226
Personal computers/tablets and peripheral equipment,0.00327929786901953,89.331,0.005402679645420569,80.35799999999999,-10.044665345736659,0.2123381776401039,Moderate price change pre-2020,-23.26108806020153,0.09256306243633204
Computer software and accessories,0.003791021318330593,84.87799999999999,0.007424110572596354,65.729,-22.56061641414735,0.3633089254265761,Moderate price change pre-2020,-23.873502188419327,0.1894450839253583
Clothing materials,0.002194086650061187,105.824,0.0018640633490970779,109.523,3.49542636830964,-0.03300233009641094,Moderate price change pre-2020,2.4245298541410554,-0.10010617173574553
"Coffee, tea, and other beverage materials",0.002723636977712429,98.087,0.0022179951158137613,137.376,40.055257067705206,-0.05056418618986677,Moderate price change pre-2020,-3.786281106849654,0.03340691896020773
"Cable, satellite, and other live television services",0.0021981800501148425,106.515,0.001182270771869034,129.731,21.79599117495188,-0.10159092782458085,Luxury-like pre-2020,17.0854768500198,-0.07638080954704757
Processed dairy products,0.002493583050436598,101.735,0.002393117395812464,120.296,18.24445864255173,-0.010046565462413408,Moderate price change pre-2020,-1.2779955750494953,0.003944951571410466
Exchange-listed equities,0.005410384912337777,49.766000000000005,0.0073779202927706285,63.155,26.90391030020496,0.19675353804328513,Moderate price change pre-2020,-57.648480516054356,0.2837751968413958
Other direct commissions,0.002848812666927158,96.668,0.0016892616957696162,96.499,-0.17482517482518833,-0.11595509711575418,Moderate price change pre-2020,-19.243460899058494,0.07186677289769683
Direct commissions,0.0034889332386312706,77.41900000000001,0.0028584268524516547,85.56,10.515506529404917,-0.06305063861796159,Moderate price change pre-2020,-34.9305339597744,0.12390185645575315
Dental services (45),0.0025833471959918974,106.317,0.002388548465747273,132.08700000000002,24.23883292417961,-0.019479873024462427,Necessity-like pre-2020,12.84389063428717,-0.001604546070658585
Domestic services,0.0027565779485584107,106.574,0.0021513648856963923,144.853,35.917766059264,-0.06052130628620184,Luxury-like pre-2020,10.575735881553406,-0.032918422453572654
"Games, toys, and hobbies",0.003282083318760182,80.592,0.005310419320770835,74.573,-7.468483224141364,0.20283360020106525,Moderate price change pre-2020,-35.74384283584351,0.12370779004016232
Laundry and drycleaning services,0.0022954770206209505,108.372,0.0018370305128780305,147.69899999999998,36.28889381020925,-0.04584465077429199,Luxury-like pre-2020,16.20042246121183,-0.051617069529948365
Market-based PCE durable goods other than motor vehicles and parts,0.002896189533820349,94.103,0.003587531902854769,96.696,2.755491323337189,0.06913423690344199,Moderate price change pre-2020,-12.496512990273578,0.05519116620675306
Durable goods,0.0027645225356447943,96.572,0.00305042211102444,106.581,10.36428778527938,0.02858995753796459,Moderate price change pre-2020,-8.255590811498925,0.03946724306315638
Electric appliances for personal care,0.002553119010980291,100.825,0.0028946175879680366,121.242,20.24993801140591,0.03414985769877457,Moderate price change pre-2020,0.2615302002744624,-0.018172915775093626
Educational books (96),0.0022886708347329204,98.799,0.0020583230335355068,109.975,11.311855383151649,-0.023034780119741364,Luxury-like pre-2020,7.720403846573198,-0.09215005293311475
"Education services, gross output",0.0025012369818978703,106.726,0.00211834033855852,132.44899999999998,24.101905814890443,-0.03828966433393503,Necessity-like pre-2020,12.266344080366064,-0.009669203725979052
Education services to households,0.0024446317989073865,106.555,0.002147757835644925,122.08,14.569940406362903,-0.029687396326246156,Luxury-like pre-2020,14.54694000408503,-0.02505876930109993
Expenditures of foreign students in the United States,0.0024267322566609304,105.756,0.0020194670888144303,117.025,10.655660198948524,-0.040726516784650016,Necessity-like pre-2020,13.06932386776718,0.02772010252455035
Electricity (27),0.0024232686104616835,100.987,0.002169941193461445,142.03,40.64186479447851,-0.02533274170002384,Moderate price change pre-2020,1.6241836313686697,-0.03824969394928025
Homes for the elderly,0.002491330469341983,109.36,0.0022001001397250965,149.285,36.507863935625466,-0.02912303296168867,Luxury-like pre-2020,17.83593909942138,-0.032708311822942426
Electricity and gas,0.0024596732275069116,100.186,0.002140804244712376,142.497,42.23244764737588,-0.03188689827945358,Moderate price change pre-2020,-0.32136425593727314,-0.03303513149330661
Securities commissions,0.002708498663904533,93.59,0.0022079955715044175,119.421,27.600170958435744,-0.050050309240011553,Moderate price change pre-2020,-9.641229628485359,-0.014114839647197744
Repair of household appliances,0.0019387456834006472,112.998,0.0016352962191662852,188.397,66.72595975150001,-0.0303449464234362,Luxury-like pre-2020,24.2979242979243,-0.09612173694169761
Elementary and secondary schools,0.002345687779858979,109.262,0.002060026362726477,135.277,23.80974172173307,-0.028566141713250212,Luxury-like pre-2020,19.529591948364523,-0.024453643035737
Elementary and secondary school lunches,0.00231313434984648,106.391,0.0016920070616421215,124.012,16.562491188164397,-0.06211272882043586,Luxury-like pre-2020,15.012323791403626,-0.0457641978141546
Less: Expenditures in the United States by nonresidents (130),0.0021508274045237445,105.972,0.0016541129969347697,122.088,15.207790737175863,-0.049671440758897484,Luxury-like pre-2020,7.6568293797937725,-0.04703541204711375
Corrective eyeglasses and contact lenses,0.002588506333337628,102.62,0.0025942705536825847,117.578,14.576106022217882,5.764220344956807e-4,Moderate price change pre-2020,3.6827481687294883,-0.01799502672272077
Individual and family services,0.0026368036097103387,106.019,0.0028991664788662742,139.472,31.55377809637896,0.02623628691559355,Necessity-like pre-2020,12.413054542370006,0.03172694971382206
Rental value of farm dwellings (22),0.002402123413734815,107.067,0.0019849796824890193,151.336,41.34700701429948,-0.04171437312457957,Luxury-like pre-2020,11.124142440502748,-0.03718563473614268
Fats and oils,0.0026899451465015765,98.787,0.002386885214890208,137.493,39.18126879042787,-0.03030599316113684,Moderate price change pre-2020,-2.0057732940511164,-0.011443961332005797
Fresh fruits and vegetables,0.0025591016725971714,101.124,0.002544413106304535,117.162,15.859736561053772,-0.0014688566292636162,Moderate price change pre-2020,0.6709805873568842,0.016903680003899253
Furnishings and durable household equipment,0.002739841028812401,98.486,0.002834339773774639,113.432,15.175761021871125,0.009449874496223788,Moderate price change pre-2020,-7.67572229409228,0.04425928689845088
Photo processing,0.0018957286508841306,92.483,0.0014513967840423469,103.432,11.838932560578709,-0.04443318668417837,Moderate price change pre-2020,-6.2200229169413035,-0.10100613362941267
Financial service charges and fees,0.0025035864482008557,109.712,0.002107098365898116,122.32,11.49190608137669,-0.03964880823027397,Luxury-like pre-2020,16.805604352316152,-0.015101019800903542
Food produced and consumed on farms (6),0.0029422826717026298,100.289,0.0027236434155285196,151.148,50.71244104537884,-0.02186392561741102,Moderate price change pre-2020,-16.946990965027787,-0.036319082733085636
Furniture and furnishings (parts of 31 and 32),0.0027840206838293646,98.492,0.002812677434298887,115.663,17.433903261178575,0.002865675046952263,Moderate price change pre-2020,-7.309498489539701,0.04554562037883975
Less: Household insurance normal losses,0.002616990584598565,105.386,0.0035166533693434506,143.731,36.38528836847399,0.08996627847448857,Luxury-like pre-2020,10.39113401629901,-0.049445428496661246
Market-based PCE financial services and insurance,0.002556970198013019,105.768,0.00223685197191615,120.069,13.521102791014306,-0.032011822609686894,Necessity-like pre-2020,8.794667654138122,-0.00608698148603622
Net household insurance (111),0.0025775098621875726,105.402,0.0022599170530785842,143.69899999999998,36.334225157017876,-0.031759280910898836,Necessity-like pre-2020,10.383612428917033,0.018007157031996658
Household insurance premiums and premium supplements,0.0025935685854749885,105.388,0.0027708156145349215,143.73399999999998,36.38554674156449,0.017724702905993303,Necessity-like pre-2020,10.390916327984257,-0.009408417651537038
Fish and seafood,0.0025335239775873507,103.906,0.002428406368815979,127.182,22.401016303197107,-0.010511760877137148,Moderate price change pre-2020,2.5229651994592928,0.003302351020369968
Film and photographic supplies,0.002667370892951242,101.087,0.0026550493470497965,133.238,31.805276642891766,-0.0012321545901445609,Moderate price change pre-2020,2.435045194763097,-0.1392704413685653
"Flowers, seeds, and potted plants",0.0027760518754408876,101.224,0.0033057010588335126,130.54299999999998,28.96447482810398,0.05296491833926249,Moderate price change pre-2020,2.6654225323542446,0.023967848040575175
Carpets and other floor coverings,0.0025187247620087516,102.617,0.0024746567661425617,120.687,17.609168071567073,-0.004406799586618992,Moderate price change pre-2020,3.822377806331523,-0.0013064409785316922
Financial services,0.0023791858406530912,110.061,0.0022615001472678386,158.38500000000002,43.90656090713332,-0.011768569338525261,Luxury-like pre-2020,25.702114051417936,-0.04374879513509228
Furniture,0.0027080384591647733,102.005,0.002623848364104611,121.594,19.203960590167156,-0.008419009506016248,Moderate price change pre-2020,-1.6506455065225634,0.03370284904399474
Food purchased for off-premises consumption,0.002566416505829146,101.628,0.002304824826219343,131.974,29.859881135120236,-0.026159167960980313,Moderate price change pre-2020,-0.24147476294245074,0.00445137913862954
Food furnished to employees (including military) (103),0.002500946326272759,106.38,0.0021844695895020744,142.048,33.528858808046635,-0.03164767367706844,Necessity-like pre-2020,14.974331261821128,0.011532759794236286
Proprietary hospitals,0.0025229150472707773,105.583,0.002318772086418347,127.446,20.706931987157027,-0.02041429608524302,Necessity-like pre-2020,9.539569240984358,-0.006128891796633841
Proprietary and government nursing homes,0.00243390176208035,108.631,0.0024540565025152968,133.813,23.1812281945301,0.0020154740434946954,Luxury-like pre-2020,15.911394701181191,-0.03173225776264975
"Repair of furniture, furnishings, and floor coverings",0.0019111091777129527,112.949,0.0016800236398044712,188.316,66.72657571116167,-0.023108553790848144,Luxury-like pre-2020,24.29734785957962,-0.08351995491209437
Fruit (fresh),0.0026243296391326326,98.64,0.0025958736870387916,114.846,16.429440389294413,-0.002845595209384098,Moderate price change pre-2020,-0.013177500937633368,0.02518008012616698
Food services and accommodations,0.002609506202251941,105.873,0.002393357865815895,139.164,31.444277577852688,-0.02161483364360459,Necessity-like pre-2020,12.202333640670226,6.081638365530804e-4
Food services,0.0025798108858863726,106.673,0.0024185871770092088,143.29299999999998,34.329211703055115,-0.016122370887716383,Necessity-like pre-2020,13.367341516552433,-0.0027148500740137565
Market-based PCE food services and accommodations,0.0026125580863156127,105.86,0.0023991291458982417,139.092,31.39240506329115,-0.0213428940417371,Necessity-like pre-2020,12.132703429866742,3.1132774499695835e-4
Foreign travel by U.S. residents (129),0.0028561032788570412,104.234,0.003625846790068125,102.354,-1.80363413089778,0.07697435112110837,Moderate price change pre-2020,-2.122185287434042,0.06945591732858059
Foreign travel in the United States,0.002075135835484265,105.361,0.001527665853463913,125.611,19.219635348943154,-0.05474699820203523,Luxury-like pre-2020,5.761837363608091,-0.06829372232815263
Fuel oil and other fuels,0.0022681311705583674,115.741,0.002000489997710325,147.172,27.156323169836092,-0.02676411728480422,Moderate price change pre-2020,-5.539913000187713,-0.02991443076499874
Funeral and burial services,0.0022864909175445837,105.003,0.0018302171961141495,125.038,19.08040722646018,-0.04562737214304342,Luxury-like pre-2020,10.690265859880665,-0.039290471945132265
Food and beverages purchased for off-premises consumption,0.0025864233013576615,101.79,0.0023562653677866472,130.168,27.878966499656155,-0.023015793357101424,Moderate price change pre-2020,0.5770408869039345,0.0075677371188251265
"Foundations and grantmaking and giving establishments, gross output",0.0027804359311196544,106.309,0.0029715479498990376,132.554,24.68746766501426,0.01911120187793832,Necessity-like pre-2020,12.555849655902595,0.01746640240073965
Legal services,0.0024795831378270562,105.194,0.0022316417885084763,139.531,32.641595528262066,-0.024794134931857992,Luxury-like pre-2020,14.297821480958328,-0.01940131806108729
Gambling (91),0.0024044002161315225,105.552,0.002470268188579944,132.623,25.64707442777019,0.006586797244842154,Luxury-like pre-2020,9.514224647755798,-0.020634253545900136
Garments,0.0026018280494885765,96.901,0.0028342996954407343,102.609,5.890548085159075,0.02324716459521578,Moderate price change pre-2020,-4.579919647077368,0.0019142953397597185
Gasoline and other motor fuel,0.00235673269361322,115.18,0.0020023135619030115,134.036,16.370897725299514,-0.03544191317102086,Moderate price change pre-2020,2.218672346467865,-0.02733687356398836
Goods,0.002642253402681181,100.59,0.00271993616964229,115.867,15.187394373198138,0.00776827669611087,Moderate price change pre-2020,-1.967663655234908,0.014169770369221613
Proprietary and public higher education,0.002365912567106328,105.776,0.0018938215120216772,117.047,10.655536227499617,-0.047209105508465084,Luxury-like pre-2020,13.068947087119188,-0.04010527801150275
Employment agency services,0.002997773674796853,101.951,0.00150908954569886,118.138,15.877235142372337,-0.1488684129097993,Necessity-like pre-2020,6.418446378989984,0.07842842444277394
Eggs,0.0024830225627242098,102.4,0.0018075328591238154,155.82800000000003,52.17578125000002,-0.06754897036003943,Moderate price change pre-2020,-17.84207063656349,0.03344578844017795
Natural gas (28),0.0025950218636005464,97.324,0.0020367007723936592,144.14399999999998,48.10735275985367,-0.055832109120688714,Moderate price change pre-2020,-6.537855798409719,-0.015291619559011389
Foundations and grantmaking and giving services to households,0.0027482942632427298,106.289,0.003990639785273113,132.53,24.688349688114485,0.1242345522030383,Luxury-like pre-2020,12.554933127190694,-0.011228865498596552
Gasoline and other energy goods,0.0023400684377734883,115.476,0.00199928764769317,134.689,16.638089299941107,-0.034078079008031815,Moderate price change pre-2020,2.3451209784631777,-0.028721617960859782
Cereals,0.0026766718729548133,99.305,0.002579100904299471,127.246,28.136549015658808,-0.009757096865534208,Moderate price change pre-2020,-2.5160010994620396,0.0034032869295417146
Ground transportation (63),0.0031985440478426905,101.195,0.00396665290243086,103.93,2.7027027027027195,0.07681088545881698,Necessity-like pre-2020,6.0221903255209375,0.0700114765658317
Group housing (23),0.002429977911141343,109.164,0.0020162608221020156,142.41,30.455095086292182,-0.04137170890393276,Luxury-like pre-2020,19.985491476242313,-0.04338360559982251
Government hospitals,0.0026350838972617617,105.574,0.0024946358155942963,127.436,20.70775001420806,-0.014044808166746537,Necessity-like pre-2020,9.539323511101895,0.010879027019644258
"Tools, hardware, and supplies",0.0026569799543535023,100.461,0.0024365823489326363,130.207,29.60950020405928,-0.0220397605420866,Moderate price change pre-2020,-2.4953412532028874,0.05535947291779768
Higher education (97),0.002403237593631076,105.777,0.0019638584005209872,117.042,10.64976318103179,-0.043937919311008884,Luxury-like pre-2020,13.076059650435612,-0.03729790474803858
Home health care,0.00261611861772323,106.853,0.0032321172377835937,125.696,17.634507220199723,0.06159986200603637,Necessity-like pre-2020,9.907324549222896,0.01092941315311187
"Household maintenance (parts of 31, 33, and 36)",0.0025841707202630465,109.506,0.0021033710808449338,152.08800000000002,38.88554051832778,-0.04807996394181127,Luxury-like pre-2020,19.307076319660087,-0.04092442087459745
Net health insurance (112),0.0024350401632787034,106.605,0.0022057311456387747,121.394,13.872707659115434,-0.02293090176399286,Necessity-like pre-2020,12.255965292841653,-0.0036546558723034566
Health care,0.0026182500923073817,104.654,0.0026777938015409885,122.304,16.865098324001004,0.005954370923360675,Necessity-like pre-2020,7.644360329966471,0.006892488582609796
"Health, gross output",0.0025771465426561832,104.989,0.002505497044082601,131.345,25.103582280048386,-0.007164949857358218,Necessity-like pre-2020,10.10214354628971,-0.003144217632709183
Health services to households,0.0026117345620444636,105.533,0.0025679190491399253,126.623,19.98427032302692,-0.0043815512904538285,Necessity-like pre-2020,9.6036807012442,8.613771987280722e-4
Market-based PCE household maintenance,0.0025746033059364567,109.752,0.0020959565890724748,152.735,39.16375100225966,-0.04786467168639819,Luxury-like pre-2020,19.975076247007493,-0.04154977267537205
Package tours,0.0029676665962957097,105.979,0.0025056974357521274,126.336,19.20852244312552,-0.04619691605435823,Necessity-like pre-2020,13.723575490932504,0.07505871115811819
Hotels and motels,0.002869497658914267,100.21,0.002329793628242273,113.419,13.181319229617806,-0.053970403067199385,Moderate price change pre-2020,3.769286527907223,0.0337211402672372
Household supplies (parts of 32 and 36),0.002591945758234782,101.078,0.002620341509887907,118.55,17.28566057895882,0.002839575165312523,Moderate price change pre-2020,-1.8650666511325298,0.005424680467210844
Hospital and nursing home services,0.0025831776468772487,106.034,0.002503433009886484,128.346,21.042307184487985,-0.007974463699076447,Necessity-like pre-2020,10.490064292934044,-0.004430028112343675
Housing,0.002500922104970666,108.468,0.0023424383425893584,141.99,30.904967363646428,-0.015848376238130745,Luxury-like pre-2020,18.041136141038194,-0.023715711267143426
Higher education school lunches,0.0021992942300111036,106.397,0.001548526626261561,142.039,33.49906482325628,-0.06507676037495426,Luxury-like pre-2020,15.011350124310896,-0.06998127329241521
Market-based PCE housing services,0.0025019393996585566,108.481,0.0023461656276425407,141.906,30.81184723592152,-0.01557737720160159,Luxury-like pre-2020,18.114411393232,-0.02357531967463449
"Nonprofit hospitals, gross output",0.0025917762091201336,104.85,0.0025930481644984766,130.018,24.003814973772066,1.2719553783430149e-4,Necessity-like pre-2020,9.787127105954774,-0.002984716871726103
Hospitals (51),0.002618710297047142,105.588,0.0025503847780564077,127.448,20.703110201916886,-0.0068325518990734226,Necessity-like pre-2020,9.549302788844605,0.0014319180067735512
Housing and utilities,0.002495181656374712,107.63,0.002313020845502953,141.95800000000003,31.89445321936266,-0.018216081087175887,Luxury-like pre-2020,16.063148359824876,-0.02472608580871994
Intercity buses,0.0022790307565000523,98.042,0.0017484974732814788,96.833,-1.2331449786826099,-0.05305332832185735,Moderate price change pre-2020,2.1504928212715546,-0.02370174077795076
Other imputed commissions,0.0018982234449996713,104.867,0.002608297970549399,103.903,-0.9192596336311643,0.07100745255497276,Moderate price change pre-2020,-4.8022368074656985,-0.11710520939082172
Indirect commissions,0.001987042959773358,106.311,0.0031523813924792298,116.929,9.987677662706584,0.11653384327058718,Moderate price change pre-2020,-3.3263919831952538,-0.11421312550976342
Over-the-counter equity securities,0.003201063063260324,110.237,0.010473670999441832,178.738,62.13975344031497,0.7272607936181508,Luxury-like pre-2020,6.886120133805207,-0.08593160172057986
Financial services and insurance,0.0023825283803418744,108.765,0.0022296579109801697,147.016,35.168482508159784,-0.015287046936170471,Luxury-like pre-2020,21.192030842600218,-0.03462443118048054
Income loss,0.002625443819028894,105.499,0.002374501009713506,132.63,25.716831439160572,-0.025094280931538822,Necessity-like pre-2020,9.460370819974884,-9.018610628527303e-5
Commercial banks,0.0023844903058113775,111.41700000000002,0.0017181982528491594,212.57,90.7877612931599,-0.06662920529622181,Luxury-like pre-2020,58.39778220073928,-0.041898313252257485
Other depository institutions and regulated investment companies,0.0021626958425491347,110.373,0.002927321508434667,143.453,29.97109800404083,0.07646256658855322,Luxury-like pre-2020,24.03969342114136,-0.07373500576764598
Financial services furnished without payment (107),0.0023078298846881933,110.405,0.0022517410729619262,167.71099999999998,51.90525791404372,-0.005608881172626708,Luxury-like pre-2020,34.69445020557052,-0.04731366744802779
Intracity mass transit,0.0024343861881222025,102.71,0.001923178891607225,109.475,6.586505695647937,-0.051120729651497755,Luxury-like pre-2020,7.934005884825557,-0.036348124227237245
Insurance,0.002385774034822287,106.68,0.0021524269615448796,128.39800000000002,20.35808023997001,-0.023334707327740765,Luxury-like pre-2020,13.833283537496289,-0.019619305039960885
Internet access (72),0.0024355003680184635,102.087,0.0027312783381374574,110.587,8.326231547601548,0.029577797011899394,Moderate price change pre-2020,-0.4873911899168526,0.020163047528846
Information processing equipment,0.003615804418992484,86.021,0.006706107220684977,69.881,-18.762860231803856,0.3090302801692492,Moderate price change pre-2020,-24.135041936024415,0.15599459901897111
Railway transportation,0.002624160090017984,98.026,0.002697091519316335,96.818,-1.2323261175606448,0.0072931429298351245,Moderate price change pre-2020,2.1497868970332235,-0.021137529520078285
Jewelry,0.002749335779232713,94.743,0.002717872135446173,120.848,27.55348680113572,-0.003146364378653994,Moderate price change pre-2020,0.9794935197817267,-0.03180342692918406
"Mineral waters, soft drinks, and vegetable juices",0.002568693308225854,104.043,0.0021856919786861825,139.58,34.15607008640657,-0.038300132953967156,Necessity-like pre-2020,5.062102393214185,-5.428919711502299e-5
Jewelry and watches (part of 119),0.0027184536190646056,95.982,0.0027064898886171008,121.053,26.12052259798712,-0.0011963730447504817,Moderate price change pre-2020,3.3631635059606646,-0.035905142903507874
"Land-line telephone services, long-distance charges",0.0020475719937028485,108.177,7.124525026655099e-4,138.803,28.31100880963604,-0.13351194910373385,Luxury-like pre-2020,12.457117907561809,-0.05771443540321334
"Clothing repair, rental, and alterations",0.0025129600921107048,108.095,0.0019221568940926425,159.425,47.48600767843103,-0.059080319801806225,Necessity-like pre-2020,12.838740657229941,0.03069821600643042
Life insurance (110),0.0022351659784102937,105.146,0.0020995035216230832,134.79,28.193179008236168,-0.013566245678721042,Luxury-like pre-2020,10.477651459432181,-0.05190132521808561
"Live entertainment, excluding sports",0.0028896013396511526,104.543,0.0027445843449939787,132.572,26.810977301206208,-0.014501699465717388,Necessity-like pre-2020,13.638636462454912,0.06033718850834155
