LineDescription,QuantityFinal,PriceFinal,weight,level,category,quadrant
Photo processing,-0.07635185061556449,0.015813129082978605,1.0785813703584041e-4,Level 4,Services,Supply-
Photo studios,0.29555025671938884,-0.024302441230729,5.354058498282363e-4,Level 4,Services,Supply+
Photographic equipment,0.10926798174306585,-0.04876199616686838,4.2835705349051375e-4,Level 4,Goods,Supply+
Physician services (44),0.02407909841306588,-0.006908300487171504,0.03708803749125103,Level 4,Services,Supply+
"Pleasure boats, aircraft, and other recreational vehicles",0.05780594186995214,-0.035416158031853384,0.0038238110623276507,Level 4,Goods,Supply+
Postal and delivery services (68),-0.0031977336868802553,-0.05044978355639429,8.6815278884776e-4,Level 4,Services,Demand-
Professional association dues,-0.23344796185128114,0.04632062161363737,6.87184208748606e-4,Level 4,Services,Supply-
Purchased meals and beverages (102),-0.0037940736004070663,-0.012687163679665714,0.0626519806940949,Level 4,Services,Demand-
Religious organizations' services to households,-0.014218633917607582,6.913287613130592e-5,4.6779892351212426e-4,Level 4,Services,Supply-
Religious organizations' services to households,-0.014218633917607582,6.913287613130592e-5,4.6779892351212426e-4,Level 4,Services,Supply-
Rental of tenant-occupied nonfarm housing (20),8.413235096993432e-5,-0.01437079226051896,0.036290782947558393,Level 4,Services,Supply+
Rental value of farm dwellings (22),8.256081986257602e-5,-0.010673231527824178,0.0014422451240460302,Level 4,Services,Supply+
"Repair and rental of audio-visual, photographic, and information processing equipment",0.072358452361172,0.0277778332182953,5.114493651639476e-4,Level 4,Services,Demand+
"Repair of furniture, furnishings, and floor coverings",9.041122478796737e-4,0.1006494364193975,7.661758608849093e-5,Level 4,Services,Demand+
Repair of household appliances,0.037116934080912656,0.10065705491663102,5.306037616860704e-4,Level 4,Services,Demand+
Sewing items,-0.11242266494534625,0.09064109753012195,1.3062758867622294e-4,Level 4,Goods,Supply-
Shoes and other footwear,-0.025534787324816066,0.029852874130629314,0.005813871926906391,Level 4,Goods,Supply-
Small electric household appliances,-0.00894911145789079,0.0349915645005604,7.210146499299326e-4,Level 4,Goods,Supply-
Social advocacy and civic and social organizations,-0.1952909054570765,9.762328518043706e-4,0.0012112592888031922,Level 4,Services,Supply-
Social assistance,-0.0013200853721591077,-0.011954527045866081,0.010062424987606296,Level 4,Services,Demand-
Standard clothing issued to military personnel,9.77691468907027e-4,-0.008294899674854417,2.3470880245418e-5,Level 4,Goods,Supply+
Stationery and miscellaneous printed materials,0.10214398889643894,-0.09899579087428112,0.001768517337480611,Level 4,Goods,Supply+
Telecommunication services (71),-0.002446210309223096,-0.029653619113118923,0.009458602870763829,Level 4,Services,Demand-
Therapeutic medical equipment,0.005694784273074238,-0.010380958524953021,0.002587839904208593,Level 4,Goods,Supply+
Tires,0.03078173202548773,-0.011594264263775633,0.002482032096941318,Level 4,Goods,Supply+
"Tools, hardware, and supplies",0.0761427404522258,-0.0973456484955938,0.002098890210452322,Level 4,Goods,Supply+
Used autos,-0.0029955673702672936,0.10810305770718709,0.0026144941911999415,Level 4,Goods,Supply-
Used light trucks,-0.06277548693010315,0.1026012629265678,0.011256903945935178,Level 4,Goods,Supply-
Veterinary and other services for pets,-0.0232442400276901,0.015451662709353942,0.003630108855244776,Level 4,Services,Supply-
Video and audio equipment,0.04520104652665302,0.009037763421318346,0.0073319252963427945,Level 4,Goods,Demand+
Video and audio streaming and rental,0.09114798690718551,-0.0350673271651849,0.0033823426895276277,Level 4,Services,Supply+
Watches,0.06528186126979807,-0.00425092103774094,0.001125199394569993,Level 4,Goods,Supply+
Water supply and sanitation (25),-5.199901989231259e-4,0.004287774957441037,0.007138061221120296,Level 4,Services,Supply-
Water transportation (65),0.039724289914861766,-0.002849536753711357,1.9278495429167472e-4,Level 4,Services,Supply+
Window coverings,0.09359260590714691,-0.0959945555579571,0.0017574023918931255,Level 4,Goods,Supply+
Women's and girls' clothing (10),-0.006808637830012398,0.008601127564034972,0.01261174027458448,Level 4,Goods,Supply-
