year,value,item_text,demographics_text,characteristics_text,total_expend,cpi_index
1993,1475,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,26603,143.225
1994,1424,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,28513,145.65
1995,1564,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,29125,148.95833333333334
1996,1696,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,30402,152.65833333333333
1997,1634,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,31447,157.00833333333333
1998,1842,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,31400,161.06666666666666
1999,1968,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,33029,165.1
2000,2102,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,34716,168.98333333333335
2001,1929,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,35660,173.85
2002,1998,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,36881,178.29166666666666
2003,1983,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,36213,182.1
2004,2169,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,36980,187.50833333333333
2005,2277,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,39098,193.41666666666666
2006,2404,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,41431,199.38333333333333
2007,2349,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,42447,206.659
2008,2167,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,42659,215.76925
2009,2127,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,41150,223.27191666666667
2010,2164,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,41212,226.1135
2011,2125,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,42403,231.40116666666668
2012,2164,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,43004,237.9865
2013,2122,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,42495,243.0685
2014,2322,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,45395,248.98108333333332
2015,2354,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,45912,256.10066666666665
2016,2527,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,47664,262.69533333333334
2017,3023,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,50470,268.8258333333333
2018,2877,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,51729,275.8930833333333
2019,3084,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,53045,284.4096666666667
2020,2070,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,51554,293.94433333333336
2021,2613,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,55914,307.29608333333334
2022,3030,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,61956,330.822
2023,3234,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,65487,354.2556666666667
2024,3277,Food away from home,Quintiles of income before taxes,Third 20 percent income quintile,66900,368.74283333333335
1984,1652,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,26138,104.20833333333333
1985,1681,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,27760,108.325
1986,1769,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,28698,112.55833333333334
1987,1891,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,29603,117.03333333333333
1988,2063,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,32084,121.76666666666667
1989,2163,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,34231,127.39166666666667
1990,2218,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,34265,133.4
1991,2058,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,36151,137.90833333333333
1992,2092,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,36094,140.69166666666666
1993,2203,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,37299,143.225
1994,2195,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,39033,145.65
1995,2169,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,39395,148.95833333333334
1996,2356,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,41965,152.65833333333333
1997,2361,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,42846,157.00833333333333
1998,2578,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,43811,161.06666666666666
1999,2580,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,45998,165.1
2000,2862,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,46794,168.98333333333335
2001,3015,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,48722,173.85
2002,2914,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,50432,178.29166666666666
2003,2818,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,50468,182.1
2004,2926,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,50974,187.50833333333333
2005,3242,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,54354,193.41666666666666
2006,3292,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,55697,199.38333333333333
2007,3262,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,57285,206.659
2008,3249,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,58632,215.76925
2009,3206,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,56879,223.27191666666667
2010,2926,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,55212,226.1135
2011,3103,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,57460,231.40116666666668
2012,3239,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,59980,237.9865
2013,3173,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,58842,243.0685
2014,3277,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,60417,248.98108333333332
2015,3620,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,63671,256.10066666666665
2016,3698,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,64910,262.69533333333334
2017,3863,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,67604,268.8258333333333
2018,4272,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,69131,275.8930833333333
2019,3882,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,71173,284.4096666666667
2020,2795,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,71905,293.94433333333336
2021,3539,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,75284,307.29608333333334
2022,4275,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,81961,330.822
2023,4633,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,87922,354.2556666666667
2024,4682,Food away from home,Quintiles of income before taxes,Fourth 20 percent income quintile,89972,368.74283333333335
1984,2601,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,41825,104.20833333333333
1985,2840,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,45166,108.325
1986,2885,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,46242,112.55833333333334
1987,3104,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,46470,117.03333333333333
1988,2987,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,48718,121.76666666666667
1989,3443,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,53093,127.39166666666667
1990,3618,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,55437,133.4
1991,3159,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,57597,137.90833333333333
1992,3168,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,57981,140.69166666666666
1993,3386,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,59521,143.225
1994,3503,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,60803,145.65
1995,3522,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,62639,148.95833333333334
1996,3591,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,66794,152.65833333333333
1997,3701,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,66800,157.00833333333333
1998,4072,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,70648,161.06666666666666
1999,4295,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,75015,165.1
2000,4173,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,75102,168.98333333333335
2001,4518,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,77125,173.85
2002,4554,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,79199,178.29166666666666
2003,4535,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,81731,182.1
2004,4669,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,83710,187.50833333333333
2005,5044,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,90469,193.41666666666666
2006,5058,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,94150,199.38333333333333
2007,5179,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,96752,206.659
2008,5336,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,97003,215.76925
2009,5151,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,94244,223.27191666666667
2010,4993,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,92870,226.1135
2011,5163,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,94551,231.40116666666668
2012,5366,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,99368,237.9865
2013,5125,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,99237,243.0685
2014,5555,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,104363,248.98108333333332
2015,6040,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,110508,256.10066666666665
2016,6320,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,112221,262.69533333333334
2017,6402,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,116988,268.8258333333333
2018,6522,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,118781,275.8930833333333
2019,6858,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,121571,284.4096666666667
2020,4427,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,114839,293.94433333333336
2021,5846,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,128213,307.29608333333334
2022,7191,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,140657,330.822
2023,7797,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,150093,354.2556666666667
2024,7652,Food away from home,Quintiles of income before taxes,Highest 20 percent income quintile,150342,368.74283333333335
1984,1033,Food away from home,Age of reference person,Reference person under age 25,13461,104.20833333333333
1985,1166,Food away from home,Age of reference person,Reference person under age 25,13763,108.325
1986,1134,Food away from home,Age of reference person,Reference person under age 25,14142,112.55833333333334
1987,1158,Food away from home,Age of reference person,Reference person under age 25,14368,117.03333333333333
1988,1334,Food away from home,Age of reference person,Reference person under age 25,16373,121.76666666666667
1989,1219,Food away from home,Age of reference person,Reference person under age 25,16577,127.39166666666667
1990,1476,Food away from home,Age of reference person,Reference person under age 25,16525,133.4
1991,1118,Food away from home,Age of reference person,Reference person under age 25,16745,137.90833333333333
1992,1181,Food away from home,Age of reference person,Reference person under age 25,17258,140.69166666666666
1993,1293,Food away from home,Age of reference person,Reference person under age 25,17468,143.225
1994,1177,Food away from home,Age of reference person,Reference person under age 25,18417,145.65
1995,1283,Food away from home,Age of reference person,Reference person under age 25,18425,148.95833333333334
1996,1226,Food away from home,Age of reference person,Reference person under age 25,18384,152.65833333333333
1997,1272,Food away from home,Age of reference person,Reference person under age 25,18450,157.00833333333333
1998,1557,Food away from home,Age of reference person,Reference person under age 25,19436,161.06666666666666
1999,1526,Food away from home,Age of reference person,Reference person under age 25,21704,165.1
2000,1569,Food away from home,Age of reference person,Reference person under age 25,22543,168.98333333333335
2001,1867,Food away from home,Age of reference person,Reference person under age 25,23526,173.85
2002,1696,Food away from home,Age of reference person,Reference person under age 25,24229,178.29166666666666
2003,1636,Food away from home,Age of reference person,Reference person under age 25,22396,182.1
2004,1862,Food away from home,Age of reference person,Reference person under age 25,24535,187.50833333333333
2005,2015,Food away from home,Age of reference person,Reference person under age 25,27776,193.41666666666666
2006,1973,Food away from home,Age of reference person,Reference person under age 25,28181,199.38333333333333
2007,1876,Food away from home,Age of reference person,Reference person under age 25,29457,206.659
2008,2117,Food away from home,Age of reference person,Reference person under age 25,29325,215.76925
2009,1731,Food away from home,Age of reference person,Reference person under age 25,28119,223.27191666666667
2010,1876,Food away from home,Age of reference person,Reference person under age 25,27483,226.1135
2011,1973,Food away from home,Age of reference person,Reference person under age 25,29912,231.40116666666668
2012,1883,Food away from home,Age of reference person,Reference person under age 25,31411,237.9865
2013,2096,Food away from home,Age of reference person,Reference person under age 25,30373,243.0685
2014,1926,Food away from home,Age of reference person,Reference person under age 25,32179,248.98108333333332
2015,2347,Food away from home,Age of reference person,Reference person under age 25,32797,256.10066666666665
2016,2250,Food away from home,Age of reference person,Reference person under age 25,34438,262.69533333333334
2017,2362,Food away from home,Age of reference person,Reference person under age 25,33629,268.8258333333333
2018,2336,Food away from home,Age of reference person,Reference person under age 25,32039,275.8930833333333
2019,3092,Food away from home,Age of reference person,Reference person under age 25,39293,284.4096666666667
2020,1923,Food away from home,Age of reference person,Reference person under age 25,38075,293.94433333333336
2021,2485,Food away from home,Age of reference person,Reference person under age 25,42063,307.29608333333334
2022,2551,Food away from home,Age of reference person,Reference person under age 25,46360,330.822
2023,2804,Food away from home,Age of reference person,Reference person under age 25,49560,354.2556666666667
2024,3025,Food away from home,Age of reference person,Reference person under age 25,47283,368.74283333333335
1984,1302,Food away from home,Age of reference person,Reference person from age 25 to 34,22294,104.20833333333333
1985,1365,Food away from home,Age of reference person,Reference person from age 25 to 34,23349,108.325
1986,1468,Food away from home,Age of reference person,Reference person from age 25 to 34,23931,112.55833333333334
1987,1578,Food away from home,Age of reference person,Reference person from age 25 to 34,24177,117.03333333333333
1988,1618,Food away from home,Age of reference person,Reference person from age 25 to 34,25770,121.76666666666667
1989,1756,Food away from home,Age of reference person,Reference person from age 25 to 34,26683,127.39166666666667
1990,1760,Food away from home,Age of reference person,Reference person from age 25 to 34,28117,133.4
1991,1742,Food away from home,Age of reference person,Reference person from age 25 to 34,29280,137.90833333333333
1992,1732,Food away from home,Age of reference person,Reference person from age 25 to 34,29554,140.69166666666666
1993,1651,Food away from home,Age of reference person,Reference person from age 25 to 34,28594,143.225
1994,1706,Food away from home,Age of reference person,Reference person from age 25 to 34,30458,145.65
1995,1711,Food away from home,Age of reference person,Reference person from age 25 to 34,31493,148.95833333333334
1996,1844,Food away from home,Age of reference person,Reference person from age 25 to 34,33020,152.65833333333333
1997,1893,Food away from home,Age of reference person,Reference person from age 25 to 34,34902,157.00833333333333
1998,2030,Food away from home,Age of reference person,Reference person from age 25 to 34,34779,161.06666666666666
1999,2250,Food away from home,Age of reference person,Reference person from age 25 to 34,36158,165.1
2000,2309,Food away from home,Age of reference person,Reference person from age 25 to 34,38945,168.98333333333335
2001,2277,Food away from home,Age of reference person,Reference person from age 25 to 34,39451,173.85
2002,2378,Food away from home,Age of reference person,Reference person from age 25 to 34,40318,178.29166666666666
2003,2342,Food away from home,Age of reference person,Reference person from age 25 to 34,40525,182.1
2004,2550,Food away from home,Age of reference person,Reference person from age 25 to 34,42701,187.50833333333333
2005,2694,Food away from home,Age of reference person,Reference person from age 25 to 34,45068,193.41666666666666
2006,2918,Food away from home,Age of reference person,Reference person from age 25 to 34,47582,199.38333333333333
2007,2790,Food away from home,Age of reference person,Reference person from age 25 to 34,47510,206.659
2008,2836,Food away from home,Age of reference person,Reference person from age 25 to 34,48159,215.76925
2009,2691,Food away from home,Age of reference person,Reference person from age 25 to 34,46494,223.27191666666667
2010,2753,Food away from home,Age of reference person,Reference person from age 25 to 34,46617,226.1135
2011,2764,Food away from home,Age of reference person,Reference person from age 25 to 34,48097,231.40116666666668
2012,2833,Food away from home,Age of reference person,Reference person from age 25 to 34,49544,237.9865
2013,2639,Food away from home,Age of reference person,Reference person from age 25 to 34,48087,243.0685
2014,2921,Food away from home,Age of reference person,Reference person from age 25 to 34,49547,248.98108333333332
2015,3097,Food away from home,Age of reference person,Reference person from age 25 to 34,52062,256.10066666666665
2016,3165,Food away from home,Age of reference person,Reference person from age 25 to 34,52838,262.69533333333334
2017,3416,Food away from home,Age of reference person,Reference person from age 25 to 34,55325,268.8258333333333
2018,3450,Food away from home,Age of reference person,Reference person from age 25 to 34,56457,275.8930833333333
2019,3534,Food away from home,Age of reference person,Reference person from age 25 to 34,57128,284.4096666666667
2020,2665,Food away from home,Age of reference person,Reference person from age 25 to 34,57644,293.94433333333336
2021,3444,Food away from home,Age of reference person,Reference person from age 25 to 34,63905,307.29608333333334
2022,3738,Food away from home,Age of reference person,Reference person from age 25 to 34,67884,330.822
2023,4167,Food away from home,Age of reference person,Reference person from age 25 to 34,71867,354.2556666666667
2024,3918,Food away from home,Age of reference person,Reference person from age 25 to 34,74475,368.74283333333335
1984,1785,Food away from home,Age of reference person,Reference person from age 35 to 44,28214,104.20833333333333
1985,1910,Food away from home,Age of reference person,Reference person from age 35 to 44,29604,108.325
1986,1971,Food away from home,Age of reference person,Reference person from age 35 to 44,31219,112.55833333333334
1987,2100,Food away from home,Age of reference person,Reference person from age 35 to 44,31473,117.03333333333333
1988,2037,Food away from home,Age of reference person,Reference person from age 35 to 44,33078,121.76666666666667
1989,2249,Food away from home,Age of reference person,Reference person from age 35 to 44,35589,127.39166666666667
1990,2246,Food away from home,Age of reference person,Reference person from age 35 to 44,35594,133.4
1991,2080,Food away from home,Age of reference person,Reference person from age 35 to 44,36446,137.90833333333333
1992,2017,Food away from home,Age of reference person,Reference person from age 35 to 44,37196,140.69166666666666
1993,2024,Food away from home,Age of reference person,Reference person from age 35 to 44,37429,143.225
1994,2031,Food away from home,Age of reference person,Reference person from age 35 to 44,37565,145.65
1995,2023,Food away from home,Age of reference person,Reference person from age 35 to 44,38397,148.95833333333334
1996,2220,Food away from home,Age of reference person,Reference person from age 35 to 44,39944,152.65833333333333
1997,2283,Food away from home,Age of reference person,Reference person from age 35 to 44,40413,157.00833333333333
1998,2439,Food away from home,Age of reference person,Reference person from age 35 to 44,42154,161.06666666666666
1999,2572,Food away from home,Age of reference person,Reference person from age 35 to 44,42792,165.1
2000,2607,Food away from home,Age of reference person,Reference person from age 35 to 44,45149,168.98333333333335
2001,2653,Food away from home,Age of reference person,Reference person from age 35 to 44,46908,173.85
2002,2712,Food away from home,Age of reference person,Reference person from age 35 to 44,48330,178.29166666666666
2003,2672,Food away from home,Age of reference person,Reference person from age 35 to 44,47175,182.1
2004,2855,Food away from home,Age of reference person,Reference person from age 35 to 44,50402,187.50833333333333
2005,3238,Food away from home,Age of reference person,Reference person from age 35 to 44,55190,193.41666666666666
2006,3203,Food away from home,Age of reference person,Reference person from age 35 to 44,57476,199.38333333333333
2007,3268,Food away from home,Age of reference person,Reference person from age 35 to 44,58934,206.659
2008,3340,Food away from home,Age of reference person,Reference person from age 35 to 44,58808,215.76925
2009,3314,Food away from home,Age of reference person,Reference person from age 35 to 44,57301,223.27191666666667
