ind_lbl,y2019,y2024,change,pct_change,type
Economists and market researchers,2763.825911111111,2722.649190909091,-41.17672020202008,-1.4898449296853957,Occupation
"Social Scientists, nec",8003.765136363636,4383.7849,-3619.9802363636363,-45.22846653654192,Occupation
Agricultural and Food Science Technicians,7890.955511111111,7303.33134,-587.6241711111115,-7.446806287067372,Occupation
Counselors,105863.22555,90578.84581666667,-15284.379733333335,-14.437855689664781,Occupation
Clergy,25315.192875,18885.019233333333,-6430.173641666668,-25.400452895686925,Occupation
"Religious Workers, nec",8481.628075,6852.71718,-1628.910895000001,-19.20516769417528,Occupation
"Lawyers, and judges, magistrates, and other judicial workers",42220.254225000004,30260.912691666665,-11959.34153333334,-28.326076554631022,Occupation
"Legal Support Workers, nec",19839.592591666667,15962.118325,-3877.474266666668,-19.544122434728546,Occupation
Postsecondary Teachers,168150.88842499998,49675.761308333334,-118475.12711666664,-70.45762780463089,Occupation
Preschool and Kindergarten Teachers,56465.950675,32145.83931666667,-24320.11135833333,-43.07040095421777,Occupation
Elementary and Middle School Teachers,393519.5010333333,341391.68710833334,-52127.813924999966,-13.246564347667347,Occupation
Secondary School Teachers,104255.52663333334,93175.07600833333,-11080.450625000012,-10.62816618247007,Occupation
Special Education Teachers,26816.9695,22244.010175,-4572.959325,-17.05248359625423,Occupation
Library Technicians,4635.548633333334,3417.70072,-1217.847913333334,-26.271926144319256,Occupation
"Education, Training, and Library Workers, nec",14712.297283333333,13253.447716666667,-1458.8495666666659,-9.915851607480143,Occupation
Artists and Related Workers,20462.988116666667,15922.129200000001,-4540.858916666666,-22.190595482818235,Occupation
Designers,106616.55031666666,91423.60278333334,-15192.947533333325,-14.250083582903462,Occupation
"Musicians, Singers, and Related Workers",12076.125954545454,11338.464754545455,-737.6611999999986,-6.108425854256207,Occupation
Announcers,5025.47215,3741.7225,-1283.7496499999997,-25.54485651661605,Occupation
"Editors, News Analysts, Reporters, and Correspondents",34965.012725,16889.133291666665,-18075.879433333335,-51.697048062016215,Occupation
Technical Writers,5976.676977777778,4500.725216666667,-1475.9517611111114,-24.69519043105276,Occupation
Chiropractors,5861.284890909091,4810.54608,-1050.7388109090907,-17.92676572569944,Occupation
Pharmacists,28940.40925833333,28097.961425,-842.4478333333282,-2.910974153175623,Occupation
Physicians and Surgeons,47052.06224166667,19582.862558333334,-27469.199683333332,-58.380437274454145,Occupation
Occupational Therapists,12334.487691666667,7895.009554545454,-4439.478137121213,-35.99239991232533,Occupation
"Health Diagnosing and Treating Practitioners, nec",4750.474560000001,3020.8968,-1729.5777600000006,-36.40852588841146,Occupation
Dental Hygienists,14696.234475,5827.010958333333,-8869.223516666665,-60.3503130802264,Occupation
Diagnostic Related Technologists and Technicians,21105.185016666666,21044.2994,-60.885616666666465,-0.2884865336105103,Occupation
Emergency Medical Technicians and Paramedics,19317.554933333333,12926.731358333334,-6390.8235749999985,-33.08298383027935,Occupation
Medical Records and Health Information Technicians,6697.820172727273,4224.40335,-2473.416822727273,-36.92868364544531,Occupation
"Opticians, Dispensing",5035.165300000001,2635.5295,-2399.6358000000005,-47.65753767805796,Occupation
"Health Technologists and Technicians, nec",18674.220136363638,9048.248345454545,-9625.971790909092,-51.54684758248503,Occupation
Occupational Therapy Assistants and Aides,4158.58218,3607.7136,-550.8685800000003,-13.24654788955019,Occupation
Physical Therapist Assistants and Aides,12794.274190909091,12471.512566666666,-322.76162424242466,-2.5227036674871433,Occupation
"Supervisors, Protective Service Workers, All Other",3738.614775,3048.1261,-690.4886750000001,-18.469104643176298,Occupation
Police Officers and Detectives,49756.793625,41870.868533333334,-7885.925091666664,-15.848941455312001,Occupation
Private Detectives and Investigators,7386.73285,6368.7822857142855,-1017.9505642857148,-13.780795717902736,Occupation
Chefs and Cooks,42674.443008333335,33155.30569166667,-9519.137316666667,-22.30641256362221,Occupation
First-Line Supervisors of Food Preparation and Serving Workers,23741.307033333334,9357.80644,-14383.500593333334,-60.58428279933608,Occupation
Food Preparation Workers,27649.329216666665,16911.461058333334,-10737.868158333331,-38.835908365764915,Occupation
Waiters and Waitresses,99760.22809166666,92217.40595833333,-7542.822133333335,-7.560951170242377,Occupation
"Food preparation and serving related workers, nec",9277.815772727272,9008.37466,-269.4411127272724,-2.9041438128067996,Occupation
Dishwashers,6705.385716666667,4417.154766666667,-2288.23095,-34.12526954732007,Occupation
"Host and Hostesses, Restaurant, Lounge, and Coffee Shop",10858.63155,8904.785541666666,-1953.8460083333339,-17.99348287430688,Occupation
Maids and Housekeeping Cleaners,8703.295383333332,8429.086383333333,-274.2089999999989,-3.1506341899541255,Occupation
Pest Control Workers,4194.7191,1773.7664,-2420.9527000000003,-57.714298437766665,Occupation
Barbers,5838.088275,4904.35,-933.7382749999997,-15.993904699907945,Occupation
Childcare Workers,59144.2978,52250.37413333333,-6893.923666666669,-11.656108742687058,Occupation
"Personal Care and Service Workers, All Other",7734.600991666666,6136.35774,-1598.2432516666659,-20.663551402181298,Occupation
First-Line Supervisors of Sales Workers,109714.68779166666,101505.61639166667,-8209.071399999986,-7.482199115935964,Occupation
Cashiers,79686.56166666668,55731.7008,-23954.860866666677,-30.061355849272548,Occupation
Counter and Rental Clerks,12253.64461,7080.11286,-5173.531749999999,-42.22035088056956,Occupation
Retail Salespersons,127710.46339166666,120657.25781666666,-7053.205575,-5.522809476752893,Occupation
Advertising Sales Agents,23771.318841666667,14856.786027272727,-8914.53281439394,-37.50121259056285,Occupation
"Sales Representatives, Services, All Other",56255.0636,54986.40631666667,-1268.657283333334,-2.2551877149301345,Occupation
"Sales Representatives, Wholesale and Manufacturing",64908.99651666667,54629.86630833334,-10279.130208333336,-15.8362180282574,Occupation
"Models, Demonstrators, and Product Promoters",6594.638080000001,4483.0605,-2111.577580000001,-32.01961281854001,Occupation
Real Estate Brokers and Sales Agents,38785.46884166667,34310.928125,-4474.54071666667,-11.536642073176992,Occupation
Sales Engineers,3973.1983333333337,3321.955728571428,-651.2426047619056,-16.39089091773434,Occupation
Telemarketers,7053.5798,2874.0481142857143,-4179.531685714286,-59.25404977645941,Occupation
First-Line Supervisors of Office and Administrative Support Workers,42883.843708333334,31651.675333333336,-11232.168374999997,-26.192074692263006,Occupation
"Switchboard Operators, Including Answering Service",3235.9762,1243.76755,-1992.20865,-61.56437893455458,Occupation
Telephone Operators,4365.4359,3209.022375,-1156.4135250000004,-26.490218880547538,Occupation
Bill and Account Collectors,8418.439875,6031.31042,-2387.1294550000002,-28.355960135665878,Occupation
Billing and Posting Clerks,18770.9369,12402.90285,-6368.03405,-33.92496647303737,Occupation
"Bookkeeping, Accounting, and Auditing Clerks",19462.424866666668,17643.46075,-1818.9641166666697,-9.346030256394274,Occupation
Bank Tellers,20520.926075,13061.129875,-7459.796199999999,-36.35214206579124,Occupation
"Court, Municipal, and License Clerks",6303.224144444444,4825.89473,-1477.3294144444444,-23.43767856877718,Occupation
Customer Service Representatives,138959.40406666667,123173.47748333332,-15785.926583333348,-11.360099512056017,Occupation
Loan Interviewers and Clerks,8079.358075,2841.7002500000003,-5237.657825,-64.82764814208338,Occupation
Reservation and Transportation Ticket Agents and Travel Clerks,5792.7438,4690.978457142857,-1101.765342857143,-19.01974920515461,Occupation
Postal Service Mail Carriers,6992.498250000001,5945.6554,-1046.842850000001,-14.970941894765591,Occupation
Stock Clerks and Order Fillers,34958.51398333333,27719.459775,-7239.054208333331,-20.70755699680081,Occupation
Secretaries and Administrative Assistants,107086.42318333333,94258.68095,-12827.742233333338,-11.978868891131118,Occupation
Insurance Claims and Policy Processing Clerks,14198.804541666666,6205.24659,-7993.557951666667,-56.29740115239572,Occupation
"Office Clerks, General",73408.86661666667,58134.07335,-15274.793266666667,-20.807831493203704,Occupation
Statistical Assistants,9496.324041666667,7579.5593,-1916.7647416666669,-20.184281130851787,Occupation
Agricultural Inspectors,2563.2638833333335,462.041975,-2101.2219083333334,-81.97446708455358,Occupation
"Agricultural workers, nec",14624.2698,10389.6351,-4234.6347000000005,-28.956212911225148,Occupation
First-Line Supervisors of Construction Trades and Extraction Workers,12185.76566,5688.767842857143,-6496.997817142857,-53.31628720277603,Occupation
"Drywall Installers, Ceiling Tile Installers, and Tapers",3718.0784,3679.05858,-39.01981999999998,-1.0494620016619334,Occupation
Construction and Building Inspectors,8364.79765,6161.769787499999,-2203.027862500001,-26.33689366651925,Occupation
"First-Line Supervisors of Mechanics, Installers, and Repairers",3015.91824,1747.15905,-1268.75919,-42.06875283197332,Occupation
"Computer, Automated Teller, and Office Machine Repairers",6572.144181818182,6224.182511111111,-347.9616707070709,-5.294492346496382,Occupation
Bus and Truck Mechanics and Diesel Engine Specialists,4997.486075,2658.006733333333,-2339.4793416666666,-46.81312376976792,Occupation
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",7967.1320857142855,5108.75815,-2858.373935714286,-35.87707477373925,Occupation
Industrial and Refractory Machinery Mechanics,6676.2723,2945.46364,-3730.8086599999997,-55.88161315709067,Occupation
Electrical Power-Line Installers and Repairers,7992.537020000001,4631.5339,-3361.0031200000003,-42.051767937885636,Occupation
Telecommunications Line Installers and Repairers,2875.0826,2030.4043333333334,-844.6782666666668,-29.379269544000813,Occupation
First-Line Supervisors of Production and Operating Workers,7712.975225,7035.29515,-677.6800750000002,-8.786234302989094,Occupation
"Assemblers and Fabricators, nec",7223.8102,6691.01753,-532.7926699999998,-7.37550759570067,Occupation
"Food Processing, nec",3550.4792500000003,2790.7984375,-759.6808125000002,-21.39657096996131,Occupation
Computer Control Programmers and Operators,2727.5576,857.7859,-1869.7717000000002,-68.55113527208371,Occupation
Machinists,5479.3664125000005,3391.0816833333333,-2088.284729166667,-38.11179198388144,Occupation
"Welding, Soldering, and Brazing Workers",4988.89176,4355.369466666667,-633.5222933333334,-12.69865781440272,Occupation
"Metal workers and plastic workers, nec",6150.024225,4300.90948,-1849.1147449999999,-30.066787988953,Occupation
Stationary Engineers and Boiler Operators,4675.0941,3238.47415,-1436.6199500000002,-30.7292199744172,Occupation
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",3570.13996,519.681675,-3050.4582849999997,-85.44366100986134,Occupation
Jewelers and Precious Stone and Metal Workers,6731.59055,786.1272,-5945.46335,-88.32182091051274,Occupation
"Medical, Dental, and Ophthalmic Laboratory Technicians",6586.85757,4126.818266666666,-2460.039303333334,-37.347692388820455,Occupation
Helpers--Production Workers,5714.369333333333,4827.6737625,-886.6955708333335,-15.516945424948618,Occupation
Air Traffic Controllers and Airfield Operations Specialists,4548.99778,2615.905033333333,-1933.0927466666667,-42.49491514736828,Occupation
Driver/Sales Workers and Truck Drivers,23459.100483333335,21236.957524999998,-2222.1429583333374,-9.472413317433347,Occupation
Taxi Drivers and Chauffeurs,9554.5533,8173.165625,-1381.387675,-14.457899094037185,Occupation
Railroad Conductors and Yardmasters,3084.3196,3038.25478,-46.0648199999996,-1.4935164306578217,Occupation
"Sailors and marine oilers, and ship engineers",2414.98075,2392.5074,-22.47335000000021,-0.9305809166387852,Occupation
Transportation Inspectors,4204.540533333333,1862.34042,-2342.200113333333,-55.70644627550901,Occupation
"Transportation workers, nec",3174.2561,1498.4795,-1675.7766000000001,-52.79273465049024,Occupation
Industrial Truck and Tractor Operators,7205.2821,6300.1075599999995,-905.1745400000009,-12.562652335291643,Occupation
"Fishing, hunting, and trapping",6336.578616666667,917.2805,-5419.298116666667,-85.5240413558929,Industry
Oil and gas extraction,23280.608799999998,12053.084175,-11227.524624999998,-48.22693736857947,Industry
Dairy products,7719.2387100000005,5649.79215,-2069.4465600000003,-26.808946293098895,Industry
Sugar and confectionery products,5656.534133333334,5318.5264,-338.0077333333338,-5.97552715790207,Industry
Beverage industries,16474.664475,13962.867975,-2511.796500000002,-15.246419760545697,Industry
Misc. food preparations and kindred products,9550.287781818182,7362.448327272727,-2187.8394545454557,-22.908623326625403,Industry
"Yarn, thread, and fabric mills",7561.844333333333,4932.7826000000005,-2629.061733333333,-34.76746700198756,Industry
Paperboard containers and boxes,4968.1802333333335,4881.95705,-86.22318333333351,-1.7355083608849518,Industry
Newspaper publishing and printing,14119.481533333334,5987.712141666667,-8131.769391666667,-57.59254950310428,Industry
"Plastics, synthetics, and resins",13544.649033333333,6116.58294,-7428.066093333333,-54.84133309805879,Industry
Drugs,44960.422733333326,42039.62321666667,-2920.7995166666587,-6.49637912434751,Industry
Soaps and cosmetics,6627.67969,6040.84997,-586.8297199999997,-8.854225723754006,Industry
"Paints, varnishes, and related products",5197.10514,2974.342383333333,-2222.7627566666665,-42.769247432748045,Industry
Petroleum refining,13019.484591666667,4978.0416428571425,-8041.442948809525,-61.76467963990357,Industry
Miscellaneous wood products,6082.446157142857,4132.73285,-1949.713307142857,-32.054756536615315,Industry
Misc. nonmetallic mineral and stone products,3858.324525,2793.976833333333,-1064.3476916666668,-27.585748289710462,Industry
Iron and steel foundries,4036.7151999999996,2968.3614,-1068.3537999999999,-26.465919617019303,Industry
Screw machine products,7115.8825,4329.3156,-2786.5669,-39.159821708691794,Industry
Metal forgings and stampings,4593.155,3791.62965,-801.5253499999999,-17.450431130671618,Industry
Farm machinery and equipment,5227.969477777778,4278.865011111111,-949.1044666666667,-18.154361281200458,Industry
Computers and related equipment,9608.220916666667,9188.0101,-420.2108166666676,-4.373450822074242,Industry
Household appliances,10582.103275,2830.1687333333334,-7751.934541666666,-73.25513974126912,Industry
"Guided missiles, space vehicles, and parts",5567.414442857143,4898.5208,-668.8936428571424,-12.01443955219315,Industry
Cycles and miscellaneous transportation equipment,4939.4097833333335,4054.807,-884.6027833333337,-17.909078657903223,Industry
"Medical, dental, and optical instruments and supplies",41170.10695,33125.572916666664,-8044.534033333337,-19.539745289229415,Industry
"Toys, amusement, and sporting goods",6489.58384,5029.74598,-1459.8378600000005,-22.49509207357741,Industry
Miscellaneous manufacturing industries,18976.5201,10122.202057142857,-8854.318042857145,-46.65933477896795,Industry
"Manufacturing industries, n.s.",9702.763755555556,7603.632512499999,-2099.1312430555563,-21.63436414551109,Industry
Railroads,2265.9459500000003,2024.5871818181818,-241.3587681818185,-10.651567756142573,Industry
Taxicab service,10985.645558333334,7661.281836363636,-3324.3637219696975,-30.26097742110339,Industry
Services incidental to transportation,46006.462641666665,29345.061541666666,-16661.4011,-36.21534919946284,Industry
Radio and television broadcasting and cable,71981.47151666667,55100.007025,-16881.464491666673,-23.452513731617614,Industry
Telegraph and miscellaneous communications services,20214.487074999997,14163.462175,-6051.024899999997,-29.934100615807967,Industry
"Utilities, n.s.",4552.7919,2092.24835,-2460.5435500000003,-54.044718143168375,Industry
Professional and commercial equipment and supplies,22457.347691666666,19821.287958333334,-2636.0597333333317,-11.738072409643923,Industry
"Metals and minerals, except petroleum",3922.8582,3183.0477875,-739.8104125,-18.858963918196174,Industry
"Hardware, plumbing and heating supplies",8980.65628,7305.29608,-1675.3601999999992,-18.655209015526417,Industry
"Miscellaneous wholesale, durable goods",11834.871333333333,6110.967308333334,-5723.904024999999,-48.36473387656037,Industry
"Apparel, fabrics, and notions",5424.5040625,4911.311914285715,-513.1921482142852,-9.460627963430255,Industry
"Miscellaneous wholesale, nondurable goods",6569.72668,3597.7330777777775,-2971.9936022222223,-45.23770541733134,Industry
Lumber and building material retailing,19431.54050833333,19385.488583333332,-46.051924999999756,-0.23699574915457738,Industry
Department stores,60586.482358333335,60258.18370833333,-328.2986500000043,-0.5418678180692373,Industry
"Apparel and accessory stores, except shoe",58490.261666666665,45719.25018333334,-12771.011483333328,-21.834423576551494,Industry
Shoe stores,12153.555175,6625.578666666666,-5527.976508333333,-45.48443997444011,Industry
"Radio, TV, and computer stores",27359.562991666666,20877.86124166667,-6481.7017499999965,-23.690808774885152,Industry
Music stores,3166.357175,3068.84478,-97.5123950000002,-3.0796397756358673,Industry
Eating and drinking places,320251.05795,304960.7663,-15290.29164999997,-4.774470300856025,Industry
Drug stores,68971.6668,43150.92255833333,-25820.744241666674,-37.43674096863594,Industry
Liquor stores,7346.03507,5654.0734,-1691.9616699999997,-23.03231136085496,Industry
"Sporting goods, bicycles, and hobby stores",26592.306266666666,22692.68280833333,-3899.6234583333353,-14.664480091452225,Industry
Jewelry stores,8808.203866666667,4822.49027,-3985.7135966666665,-45.25001529256157,Industry
Catalog and mail order houses,39674.809708333334,33034.180075000004,-6640.62963333333,-16.73764709182342,Industry
Banking,123170.75805833333,116847.61805,-6323.140008333328,-5.133637324322309,Industry
"Savings institutions, including credit unions",19573.427566666665,7741.678318181818,-11831.749248484848,-60.44801917388342,Industry
Insurance,161231.9894416667,134907.243325,-26324.746116666705,-16.327247593872137,Industry
"Real estate, including real estate-insurance offices",102784.83826666667,89973.108625,-12811.72964166668,-12.464610401417103,Industry
Advertising,110903.33017500001,76562.69725833333,-34340.632916666684,-30.964474071679227,Industry
Personnel supply services,65744.17759166667,54342.58673333333,-11401.590858333337,-17.34235832889715,Industry
"Automotive rental and leasing, without drivers",19580.890408333333,10433.643158333334,-9147.247249999999,-46.71517514906813,Industry
Automotive repair and related services,13724.551175,12816.048690909092,-908.5024840909082,-6.61954239892226,Industry
Private households,38520.1572,28085.732566666666,-10434.424633333336,-27.08821923845455,Industry
Hotels and motels,47473.70169166667,34131.41479166667,-13342.2869,-28.104585116736427,Industry
"Lodging places, except hotels and motels",8529.202379999999,7502.320277777778,-1026.882102222221,-12.039602960179979,Industry
Miscellaneous personal services,37185.904883333336,31085.8009,-6100.103983333338,-16.40434460979702,Industry
Theaters and motion pictures,52581.69201666667,41165.1718,-11416.520216666671,-21.711968137214015,Industry
Offices and clinics of dentists,35526.40389166667,33057.56635,-2468.8375416666677,-6.94930325398281,Industry
Offices and clinics of chiropractors,10956.980545454546,6852.362809090909,-4104.617736363637,-37.46121223210914,Industry
Hospitals,517142.21384166664,517057.3524916666,-84.86135000002105,-0.01640967372777714,Industry
Elementary and secondary schools,695503.2387166668,614760.1808833332,-80743.05783333362,-11.60930004902919,Industry
Job training and vocational rehabilitation services,5213.529481818182,2165.2199111111113,-3048.3095707070706,-58.4692113344297,Industry
Religious organizations,56022.775449999994,42938.24964166667,-13084.525808333325,-23.355725779796803,Industry
"Membership organizations, n.e.c.",82476.94275833333,75981.37138333333,-6495.5713749999995,-7.875620940549107,Industry
"General government, n.e.c.",6614.333733333333,3111.6153272727274,-3502.7184060606055,-52.95648129165974,Industry
"Justice, public order, and safety",106234.51588333333,102370.07653333333,-3864.4393500000006,-3.637649513312533,Industry
"Public finance, taxation, and monetary policy",12447.886725,10519.592054545454,-1928.2946704545466,-15.490940053156264,Industry
