Month,YYYY,PX_MD,PX5_MD
October,1997,2.8,3
November,1997,2.9,3.1
December,1997,2.8,3.1
January,1998,2.3,2.9
February,1998,2.4,2.9
March,1998,2.5,2.8
April,1998,2.4,2.7
May,1998,2.6,2.8
June,1998,2.7,2.9
July,1998,2.6,2.7
August,1998,2.4,2.7
September,1998,2.3,2.9
October,1998,2.5,2.8
November,1998,2.3,2.8
December,1998,2.5,2.9
January,1999,2.7,3
February,1999,2.5,2.8
March,1999,2.7,2.7
April,1999,2.7,2.8
May,1999,2.8,2.9
June,1999,2.5,2.8
July,1999,2.7,2.9
August,1999,2.8,2.8
September,1999,2.7,2.9
October,1999,2.9,2.8
November,1999,2.9,2.9
December,1999,3,2.9
January,2000,3,3
February,2000,2.9,2.9
March,2000,3.2,3.1
April,2000,3.2,2.8
May,2000,3,2.9
June,2000,2.9,2.8
July,2000,3,2.8
August,2000,2.7,2.9
September,2000,2.9,3
October,2000,3.2,3
November,2000,2.9,2.9
December,2000,2.8,3
January,2001,3,2.9
February,2001,2.8,3
March,2001,2.8,3
April,2001,3.1,3.1
May,2001,3.2,3
June,2001,3,3
July,2001,2.6,2.9
August,2001,2.7,3
September,2001,2.8,2.9
October,2001,1,2.7
November,2001,0.4,2.8
December,2001,1.8,3
January,2002,1.9,2.7
February,2002,2.1,2.8
March,2002,2.7,2.8
April,2002,2.8,2.8
May,2002,2.7,3
June,2002,2.7,2.8
July,2002,2.6,2.8
August,2002,2.6,2.9
September,2002,2.5,2.5
October,2002,2.5,2.8
November,2002,2.4,2.8
December,2002,2.5,2.8
January,2003,2.5,2.7
February,2003,2.7,2.7
March,2003,3.1,2.8
April,2003,2.4,2.7
May,2003,2,2.8
June,2003,2.1,2.7
July,2003,1.7,2.7
August,2003,2.5,2.7
September,2003,2.8,2.7
October,2003,2.6,2.8
November,2003,2.7,2.7
December,2003,2.6,2.8
January,2004,2.7,2.8
February,2004,2.6,2.9
March,2004,2.9,2.9
April,2004,3.2,2.7
May,2004,3.3,2.8
June,2004,3.3,2.9
July,2004,3,2.8
August,2004,2.8,2.7
September,2004,2.8,2.8
October,2004,3.1,2.8
November,2004,2.8,2.7
December,2004,3,2.8
January,2005,2.9,2.7
February,2005,2.9,2.8
March,2005,3.2,2.9
April,2005,3.3,3
May,2005,3.2,2.9
June,2005,3.2,2.8
July,2005,3,2.9
August,2005,3.1,2.8
September,2005,4.3,3.1
October,2005,4.6,3.2
November,2005,3.3,3
December,2005,3.1,3.1
January,2006,3,2.9
February,2006,3,2.9
March,2006,3,2.9
April,2006,3.3,3.1
May,2006,4,3.2
June,2006,3.3,2.9
July,2006,3.2,2.9
August,2006,3.8,3.2
September,2006,3.1,3
October,2006,3.1,3.1
November,2006,3,3
December,2006,2.9,3
January,2007,3,3
February,2007,3,2.9
March,2007,3,2.9
April,2007,3.3,3.1
May,2007,3.3,3.1
June,2007,3.4,2.9
July,2007,3.4,3.1
August,2007,3.2,2.9
September,2007,3.1,2.9
October,2007,3.1,2.8
November,2007,3.4,2.9
December,2007,3.4,3.1
January,2008,3.4,3
February,2008,3.6,3
March,2008,4.3,2.9
April,2008,4.8,3.2
May,2008,5.2,3.4
June,2008,5.1,3.4
July,2008,5.1,3.2
August,2008,4.8,3.2
September,2008,4.3,3
October,2008,3.9,2.9
November,2008,2.9,2.9
December,2008,1.7,2.6
January,2009,2.2,2.9
February,2009,1.9,3.1
March,2009,2,2.6
April,2009,2.8,2.8
May,2009,2.8,2.9
June,2009,3.1,3
July,2009,2.9,3
August,2009,2.8,2.8
September,2009,2.2,2.8
October,2009,2.9,2.9
November,2009,2.7,3
December,2009,2.5,2.7
January,2010,2.8,2.9
February,2010,2.7,2.7
March,2010,2.7,2.7
April,2010,2.9,2.7
May,2010,3.2,2.9
June,2010,2.8,2.8
July,2010,2.7,2.9
August,2010,2.7,2.8
September,2010,2.2,2.7
October,2010,2.7,2.8
November,2010,3,2.8
December,2010,3,2.8
January,2011,3.4,2.9
February,2011,3.4,2.9
March,2011,4.6,3.2
April,2011,4.6,2.9
May,2011,4.1,2.9
June,2011,3.8,3
July,2011,3.4,2.9
August,2011,3.5,2.9
September,2011,3.3,2.8
October,2011,3.2,2.7
November,2011,3.2,2.7
December,2011,3.1,2.7
January,2012,3.3,2.7
February,2012,3.3,2.9
March,2012,3.9,3
April,2012,3.2,2.9
May,2012,3,2.7
June,2012,3.1,2.8
July,2012,3,2.7
August,2012,3.6,3
September,2012,3.3,2.8
October,2012,3.1,2.7
November,2012,3.1,2.8
December,2012,3.2,2.9
January,2013,3.3,2.9
February,2013,3.3,3
March,2013,3.2,2.8
April,2013,3.1,2.9
May,2013,3.1,2.9
June,2013,3,2.9
July,2013,3.1,2.8
August,2013,3,2.9
September,2013,3.3,3
October,2013,3,2.8
November,2013,2.9,2.9
December,2013,3,2.7
January,2014,3.1,2.9
February,2014,3.2,2.9
March,2014,3.2,2.9
April,2014,3.2,2.9
May,2014,3.3,2.8
June,2014,3.1,2.9
July,2014,3.3,2.7
August,2014,3.2,2.9
September,2014,3,2.8
October,2014,2.9,2.8
November,2014,2.8,2.6
December,2014,2.8,2.8
January,2015,2.5,2.8
February,2015,2.8,2.7
March,2015,3,2.8
April,2015,2.6,2.6
May,2015,2.8,2.8
June,2015,2.7,2.6
July,2015,2.8,2.8
August,2015,2.8,2.7
September,2015,2.8,2.7
October,2015,2.7,2.5
November,2015,2.7,2.6
December,2015,2.6,2.6
January,2016,2.5,2.7
February,2016,2.5,2.5
March,2016,2.7,2.7
April,2016,2.8,2.5
May,2016,2.4,2.5
June,2016,2.6,2.6
July,2016,2.7,2.6
August,2016,2.5,2.5
September,2016,2.4,2.6
October,2016,2.4,2.4
November,2016,2.4,2.6
December,2016,2.2,2.3
January,2017,2.6,2.6
February,2017,2.7,2.5
March,2017,2.5,2.4
April,2017,2.5,2.4
May,2017,2.6,2.4
June,2017,2.6,2.5
July,2017,2.6,2.6
August,2017,2.6,2.5
September,2017,2.7,2.5
October,2017,2.4,2.5
November,2017,2.5,2.4
December,2017,2.7,2.4
January,2018,2.7,2.5
February,2018,2.7,2.5
March,2018,2.8,2.5
April,2018,2.7,2.5
May,2018,2.8,2.5
June,2018,3,2.6
July,2018,2.9,2.4
August,2018,3,2.6
September,2018,2.7,2.5
October,2018,2.9,2.4
November,2018,2.8,2.6
December,2018,2.7,2.5
January,2019,2.7,2.6
February,2019,2.6,2.3
March,2019,2.5,2.5
April,2019,2.5,2.3
May,2019,2.9,2.6
June,2019,2.7,2.3
July,2019,2.6,2.5
August,2019,2.7,2.6
September,2019,2.8,2.4
October,2019,2.5,2.3
November,2019,2.5,2.5
December,2019,2.3,2.2
January,2020,2.5,2.5
February,2020,2.4,2.3
March,2020,2.2,2.3
April,2020,2.1,2.5
May,2020,3.2,2.7
June,2020,3,2.5
July,2020,3,2.6
August,2020,3.1,2.7
September,2020,2.6,2.7
October,2020,2.6,2.4
November,2020,2.8,2.5
December,2020,2.5,2.5
January,2021,3,2.7
February,2021,3.3,2.7
March,2021,3.1,2.8
April,2021,3.4,2.7
May,2021,4.6,3
June,2021,4.2,2.8
July,2021,4.7,2.8
August,2021,4.6,2.9
September,2021,4.6,3
October,2021,4.8,2.9
November,2021,4.9,3
December,2021,4.8,2.9
January,2022,4.9,3.1
February,2022,4.9,3
March,2022,5.4,3
April,2022,5.4,3
May,2022,5.3,3
June,2022,5.3,3.1
July,2022,5.2,2.9
August,2022,4.8,2.9
September,2022,4.7,2.7
October,2022,5,2.9
November,2022,5,3
December,2022,4.3,3
January,2023,3.9,2.9
February,2023,4.2,2.9
March,2023,3.6,2.9
April,2023,4.7,3
May,2023,4.2,3.1
June,2023,3.3,3
July,2023,3.4,3
August,2023,3.5,3
September,2023,3.2,2.8
October,2023,4.2,3
November,2023,4.5,3.2
December,2023,3.1,2.9
January,2024,2.9,2.9
February,2024,3,2.9
March,2024,2.9,2.8
April,2024,3.2,3
May,2024,3.3,3
June,2024,3,3
July,2024,2.9,3
August,2024,2.8,3
September,2024,2.7,3.1
October,2024,2.7,3
November,2024,2.6,3.2
December,2024,2.8,3
January,2025,3.3,3.2
February,2025,4.3,3.5
March,2025,5,4.1
