industry_text.x,quitsR,date,dataelement_text,industry_text.y,ECI_growth,Is_2021_to_2022
Total nonfarm,0.01884682145995686,2008-06-01,Quits,All industries,0.0074349442379182396,FALSE
Total nonfarm,0.018046476257330468,2008-09-01,Quits,All industries,0.005535055350553542,FALSE
Total nonfarm,0.015454322983485232,2008-12-01,Quits,All industries,0.004587155963302836,FALSE
Total nonfarm,0.013842240722151358,2009-03-01,Quits,All industries,0.002739726027397138,FALSE
Total nonfarm,0.01286239904734279,2009-06-01,Quits,All industries,0.002732240437158362,FALSE
Total nonfarm,0.012492321867321868,2009-09-01,Quits,All industries,0.0036330608537693543,FALSE
Total nonfarm,0.013604708492542833,2009-12-01,Quits,All industries,0.004524886877828038,FALSE
Total nonfarm,0.014291874576480009,2010-03-01,Quits,All industries,0.003603603603603567,FALSE
Total nonfarm,0.014643565949686209,2010-06-01,Quits,All industries,0.004488330341113178,FALSE
Total nonfarm,0.014539009812872586,2010-09-01,Quits,All industries,0.003574620196604039,FALSE
Total nonfarm,0.015110635533305309,2010-12-01,Quits,All industries,0.00534283170080152,FALSE
Total nonfarm,0.015486338048553821,2011-03-01,Quits,All industries,0.0026572187776794376,FALSE
Total nonfarm,0.014575248605384429,2011-06-01,Quits,All industries,0.004416961130742081,FALSE
Total nonfarm,0.015421814197740753,2011-09-01,Quits,All industries,0.004397537379067673,FALSE
Total nonfarm,0.014905832160781333,2011-12-01,Quits,All industries,0.004378283712784592,FALSE
Total nonfarm,0.016202596004306735,2012-03-01,Quits,All industries,0.005231037489102031,FALSE
Total nonfarm,0.016058862596730023,2012-06-01,Quits,All industries,0.004336513443191636,FALSE
Total nonfarm,0.014496847864874509,2012-09-01,Quits,All industries,0.0043177892918826455,FALSE
Total nonfarm,0.01518415694984268,2012-12-01,Quits,All industries,0.0034393809114359186,FALSE
Total nonfarm,0.015653442799342613,2013-03-01,Quits,All industries,0.005998286203941827,FALSE
Total nonfarm,0.016166552921060548,2013-06-01,Quits,All industries,0.005110732538330387,FALSE
Total nonfarm,0.016825148553928915,2013-09-01,Quits,All industries,0.003389830508474523,FALSE
Total nonfarm,0.01664871003436026,2013-12-01,Quits,All industries,0.00591216216216206,FALSE
Total nonfarm,0.017748177351325497,2014-03-01,Quits,All industries,0.0025188916876575096,FALSE
Total nonfarm,0.018057666404961356,2014-06-01,Quits,All industries,0.00670016750418756,FALSE
Total nonfarm,0.0195753888924715,2014-09-01,Quits,All industries,0.0074875207986688785,FALSE
Total nonfarm,0.018181040992833023,2014-12-01,Quits,All industries,0.005780346820809301,FALSE
Total nonfarm,0.019542448411909965,2015-03-01,Quits,All industries,0.006568144499178974,FALSE
Total nonfarm,0.019450227601538517,2015-06-01,Quits,All industries,0.0016313213703100793,FALSE
Total nonfarm,0.01952693916282993,2015-09-01,Quits,All industries,0.006514657980456029,FALSE
Total nonfarm,0.02135823263420532,2015-12-01,Quits,All industries,0.005663430420711935,FALSE
Total nonfarm,0.020304038533821504,2016-03-01,Quits,All industries,0.006436041834271933,FALSE
Total nonfarm,0.02093623397524835,2016-06-01,Quits,All industries,0.007194244604316502,FALSE
Total nonfarm,0.021019446609777802,2016-09-01,Quits,All industries,0.004761904761904745,FALSE
Total nonfarm,0.020555952904929578,2016-12-01,Quits,All industries,0.005529225908372792,FALSE
Total nonfarm,0.021579037506422333,2017-03-01,Quits,All industries,0.0070699135899450205,FALSE
Total nonfarm,0.021516085900619424,2017-06-01,Quits,All industries,0.006240249609984483,FALSE
Total nonfarm,0.021700827896788413,2017-09-01,Quits,All industries,0.006976744186046657,FALSE
Total nonfarm,0.02184095823645447,2017-12-01,Quits,All industries,0.006928406466512715,FALSE
Total nonfarm,0.0224101536946743,2018-03-01,Quits,All industries,0.00840978593272168,FALSE
Total nonfarm,0.022703167165661963,2018-06-01,Quits,All industries,0.006823351023502733,FALSE
Total nonfarm,0.022703383078581423,2018-09-01,Quits,All industries,0.009036144578313143,FALSE
Total nonfarm,0.02274289910216615,2018-12-01,Quits,All industries,0.006716417910447747,FALSE
Total nonfarm,0.023509845662586484,2019-03-01,Quits,All industries,0.006671608598962209,FALSE
Total nonfarm,0.023163590787615138,2019-06-01,Quits,All industries,0.007363770250368162,FALSE
Total nonfarm,0.022700537939967486,2019-09-01,Quits,All industries,0.008771929824561209,FALSE
Total nonfarm,0.023299333175193063,2019-12-01,Quits,All industries,0.006521739130434856,FALSE
Total nonfarm,0.019384672461310155,2020-03-01,Quits,All industries,0.010079193664506825,FALSE
Total nonfarm,0.018681877634064818,2020-06-01,Quits,All industries,0.0035637918745545782,FALSE
Total nonfarm,0.022382900677200904,2020-09-01,Quits,All industries,0.005681818181818121,FALSE
Total nonfarm,0.023884892086330937,2020-12-01,Quits,All industries,0.00847457627118664,FALSE
Total nonfarm,0.025317332742087466,2021-03-01,Quits,All industries,0.011904761904761862,TRUE
Total nonfarm,0.027539800670832504,2021-06-01,Quits,All industries,0.008996539792387681,TRUE
Total nonfarm,0.029145068954783526,2021-09-01,Quits,All industries,0.01577503429355276,TRUE
Total nonfarm,0.029083356706869148,2021-12-01,Quits,All industries,0.011478730587441088,TRUE
Total nonfarm,0.029400887573964498,2022-03-01,Quits,All industries,0.012683578104138782,TRUE
Total nonfarm,0.027300999921266042,2022-06-01,Quits,All industries,0.015820698747528006,TRUE
Total nonfarm,0.026450722921357087,2022-09-01,Quits,All industries,0.011680726800778807,TRUE
Total nonfarm,0.02646937032531898,2022-12-01,Quits,All industries,0.010262989095574104,TRUE
