date,supply_chains,month,year
30-Apr-2016,-0.26,4,2016
31-May-2016,-0.70,5,2016
30-Jun-2016,-0.29,6,2016
31-Jul-2016,-0.18,7,2016
31-Aug-2016,0.07,8,2016
30-Sep-2016,-0.29,9,2016
31-Oct-2016,-0.03,10,2016
30-Nov-2016,-0.31,11,2016
31-Dec-2016,-0.22,12,2016
31-Jan-2017,0.19,1,2017
28-Feb-2017,0.19,2,2017
31-Mar-2017,0.10,3,2017
30-Apr-2017,0.04,4,2017
31-May-2017,-0.11,5,2017
30-Jun-2017,0.11,6,2017
31-Jul-2017,0.12,7,2017
31-Aug-2017,0.40,8,2017
30-Sep-2017,0.52,9,2017
31-Oct-2017,0.79,10,2017
30-Nov-2017,0.81,11,2017
31-Dec-2017,0.68,12,2017
31-Jan-2018,0.59,1,2018
28-Feb-2018,0.08,2,2018
31-Mar-2018,0.44,3,2018
30-Apr-2018,0.54,4,2018
31-May-2018,0.36,5,2018
30-Jun-2018,0.41,6,2018
31-Jul-2018,0.44,7,2018
31-Aug-2018,0.52,8,2018
30-Sep-2018,0.44,9,2018
31-Oct-2018,0.51,10,2018
30-Nov-2018,0.43,11,2018
31-Dec-2018,0.45,12,2018
31-Jan-2019,0.52,1,2019
28-Feb-2019,0.13,2,2019
31-Mar-2019,0.20,3,2019
30-Apr-2019,0.02,4,2019
31-May-2019,-0.64,5,2019
30-Jun-2019,-0.48,6,2019
31-Jul-2019,-0.45,7,2019
31-Aug-2019,-0.31,8,2019
30-Sep-2019,0.13,9,2019
31-Oct-2019,0.07,10,2019
30-Nov-2019,0.13,11,2019
31-Dec-2019,0.03,12,2019
31-Jan-2020,0.07,1,2020
29-Feb-2020,1.17,2,2020
31-Mar-2020,2.53,3,2020
30-Apr-2020,3.13,4,2020
31-May-2020,2.50,5,2020
30-Jun-2020,2.20,6,2020
31-Jul-2020,2.72,7,2020
31-Aug-2020,1.33,8,2020
30-Sep-2020,0.60,9,2020
31-Oct-2020,0.10,10,2020
30-Nov-2020,0.72,11,2020
31-Dec-2020,1.65,12,2020
31-Jan-2021,1.32,1,2021
28-Feb-2021,1.90,2,2021
31-Mar-2021,2.20,3,2021
30-Apr-2021,2.69,4,2021
31-May-2021,2.99,5,2021
30-Jun-2021,2.71,6,2021
31-Jul-2021,2.93,7,2021
31-Aug-2021,3.25,8,2021
30-Sep-2021,3.28,9,2021
31-Oct-2021,3.82,10,2021
30-Nov-2021,4.23,11,2021
31-Dec-2021,4.31,12,2021
31-Jan-2022,3.59,1,2022
28-Feb-2022,2.73,2,2022
31-Mar-2022,2.76,3,2022
30-Apr-2022,3.42,4,2022
31-May-2022,2.65,5,2022
30-Jun-2022,2.35,6,2022
31-Jul-2022,1.77,7,2022
31-Aug-2022,1.46,8,2022
30-Sep-2022,0.91,9,2022
31-Oct-2022,1.04,10,2022
30-Nov-2022,1.18,11,2022
31-Dec-2022,1.25,12,2022
31-Jan-2023,0.99,1,2023
28-Feb-2023,-0.29,2,2023
31-Mar-2023,-1.18,3,2023
30-Apr-2023,-1.36,4,2023
31-May-2023,-1.56,5,2023
30-Jun-2023,-1.14,6,2023
31-Jul-2023,-0.90,7,2023
